"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"860Z200US75441","ZCTA5 75441","16474","691",
"860Z200US75442","ZCTA5 75442","81839","17570",
"860Z200US75446","ZCTA5 75446","55744","5447",
"860Z200US75447","ZCTA5 75447","101875","41862",
"860Z200US75448","ZCTA5 75448","80098","25611",
"860Z200US75449","ZCTA5 75449","62500","32262",
"860Z200US75450","ZCTA5 75450","-","**",
"860Z200US75451","ZCTA5 75451","47902","7654",
"860Z200US75452","ZCTA5 75452","69911","11444",
"860Z200US75453","ZCTA5 75453","98518","15001",
"860Z200US75454","ZCTA5 75454","137903","11429",
"860Z200US75455","ZCTA5 75455","57120","5462",
"860Z200US75457","ZCTA5 75457","70192","27603",
"860Z200US75459","ZCTA5 75459","71389","12885",
"860Z200US75460","ZCTA5 75460","43884","3986",
"860Z200US75462","ZCTA5 75462","66884","5476",
"860Z200US75468","ZCTA5 75468","69832","43250",
"860Z200US75469","ZCTA5 75469","79018","41554",
"860Z200US75470","ZCTA5 75470","97581","71111",
"860Z200US75471","ZCTA5 75471","53221","15596",
"860Z200US75472","ZCTA5 75472","56941","13958",
"860Z200US75473","ZCTA5 75473","80699","14174",
"860Z200US75474","ZCTA5 75474","62461","8203",
"860Z200US75475","ZCTA5 75475","-","**",
"860Z200US75476","ZCTA5 75476","56250","23620",
"860Z200US75477","ZCTA5 75477","80375","46323",
"860Z200US75478","ZCTA5 75478","54688","14569",
"860Z200US75479","ZCTA5 75479","72368","7323",
"860Z200US75480","ZCTA5 75480","69005","15524",
"860Z200US75481","ZCTA5 75481","61000","24182",
"860Z200US75482","ZCTA5 75482","63312","4683",
"860Z200US75486","ZCTA5 75486","89750","31092",
"860Z200US75487","ZCTA5 75487","35729","21274",
"860Z200US75488","ZCTA5 75488","62303","17464",
"860Z200US75489","ZCTA5 75489","77273","14705",
"860Z200US75490","ZCTA5 75490","83516","15882",
"860Z200US75491","ZCTA5 75491","73988","10377",
"860Z200US75492","ZCTA5 75492","106806","24953",
"860Z200US75493","ZCTA5 75493","55625","29952",
"860Z200US75494","ZCTA5 75494","65955","5900",
"860Z200US75495","ZCTA5 75495","89781","28066",
"860Z200US75496","ZCTA5 75496","71250","15237",
"860Z200US75497","ZCTA5 75497","57368","16367",
"860Z200US75501","ZCTA5 75501","44064","4913",
"860Z200US75503","ZCTA5 75503","68977","6724",
"860Z200US75550","ZCTA5 75550","70192","20178",
"860Z200US75551","ZCTA5 75551","63929","10051",
"860Z200US75554","ZCTA5 75554","44630","8495",
"860Z200US75555","ZCTA5 75555","50579","7277",
"860Z200US75556","ZCTA5 75556","73214","24875",
"860Z200US75558","ZCTA5 75558","90244","26462",
"860Z200US75559","ZCTA5 75559","52983","15027",
"860Z200US75560","ZCTA5 75560","51394","35661",
"860Z200US75561","ZCTA5 75561","55288","3999",
"860Z200US75562","ZCTA5 75562","-","**",
"860Z200US75563","ZCTA5 75563","50108","11472",
"860Z200US75564","ZCTA5 75564","-","**",
"860Z200US75565","ZCTA5 75565","19107","9285",
"860Z200US75566","ZCTA5 75566","62159","17112",
"860Z200US75567","ZCTA5 75567","59069","9352",
"860Z200US75568","ZCTA5 75568","50134","8864",
"860Z200US75569","ZCTA5 75569","41850","17389",
"860Z200US75570","ZCTA5 75570","64304","4896",
"860Z200US75571","ZCTA5 75571","51450","7242",
"860Z200US75572","ZCTA5 75572","41600","9521",
"860Z200US75573","ZCTA5 75573","64792","50699",
"860Z200US75574","ZCTA5 75574","70801","9010",
"860Z200US75601","ZCTA5 75601","60634","5326",
"860Z200US75602","ZCTA5 75602","54656","7126",
"860Z200US75603","ZCTA5 75603","58750","15681",
"860Z200US75604","ZCTA5 75604","66109","3160",
"860Z200US75605","ZCTA5 75605","73582","5564",
"860Z200US75630","ZCTA5 75630","38750","8633",
"860Z200US75631","ZCTA5 75631","80703","26606",
"860Z200US75633","ZCTA5 75633","62244","12849",
"860Z200US75638","ZCTA5 75638","53409","3635",
"860Z200US75639","ZCTA5 75639","32727","11158",
"860Z200US75640","ZCTA5 75640","80833","27926",
"860Z200US75641","ZCTA5 75641","42500","16065",
"860Z200US75642","ZCTA5 75642","-","**",
"860Z200US75643","ZCTA5 75643","55000","23841",
"860Z200US75644","ZCTA5 75644","54579","6491",
"860Z200US75645","ZCTA5 75645","70315","14669",
"860Z200US75647","ZCTA5 75647","53016","7768",
"860Z200US75650","ZCTA5 75650","84531","11787",
"860Z200US75651","ZCTA5 75651","65030","30101",
"860Z200US75652","ZCTA5 75652","65905","9672",
"860Z200US75654","ZCTA5 75654","58839","12182",
"860Z200US75656","ZCTA5 75656","51676","6510",
"860Z200US75657","ZCTA5 75657","48848","3238",
